********************************************************************************
File created by the application RiderData for Android.
Creation date: 27/09/2024 15:05:26 WET
Developed by: Pedro Duarte
Version 2.1 September 2024
The RiderData application stores data from various sensors available on the smartphone, namely accelerometer, gyroscope, AHRS, and GPS. In addition, it records a video from the rear camera view of the phone.
Smartphone used:
Manufacturer - samsung
Model - SM-G781B
SDK Version - 36
Android Release - 16
***********************************************************************************************
CSV columns:
Sensor - Indicates which sensor collected the data;
Timestamp - Represents the moment (in milliseconds) when the data was collected;
Value_X - Represents X-axis values for accelerometer and gyroscope, represents pitch for AHRS, and latitude for GPS;
Value_Y - Represents Y-axis values for accelerometer and gyroscope, represents roll for AHRS, and longitude for GPS;
Value_Z - Represents Z-axis values for accelerometer and gyroscope, represents yaw for AHRS, and speed for GPS;

Sensor Description:
ACEL - Accelerometer;
GYRO - Gyroscope;
AHRS - Attitude and Heading Reference System;
GPS - Global Positioning System
***********************************************************************************************
Frequency Sampling:
Accelerometer - 403 Hz;
Gyroscope - 403 Hz;
AHRS - 201 Hz;
GPS - 1Hz;

Units of Measurement:
Accelerometer - acceleration in m/s^2;
Gyroscope - angular velocity in rad/s;
AHRS - degrees (all parameters);
GPS - minutes and seconds (Value_X and Value_Y), and km/h (Value_Z);
***********************************************************************************************
COLLECTED DATA
Sensor, Timestamp, Valor_X, Valor_Y, Valor_Z
ACEL,1727445926433,2.76042,-0.30897322,9.329915
GYRO,1727445926434,-0.092467,0.84503084,-0.20280129
ACEL,1727445926435,2.7173493,-0.3065804,9.399306
GYRO,1727445926435,-0.092467,0.85724777,-0.20463383
ACEL,1727445926436,2.6718855,-0.26081768,9.480662
AHRS,1727445926437,1.5296049,-16.777838,-73.33595
AHRS,1727445926438,1.5474868,-16.548681,-73.2842
GYRO,1727445926439,-0.09491039,0.8578586,-0.20585553
ACEL,1727445926440,2.626422,-0.2321038,9.590733
GYRO,1727445926441,-0.0936887,0.84441996,-0.20707722
ACEL,1727445926443,2.5689943,-0.19142582,9.669696
GYRO,1727445926444,-0.08941277,0.82059693,-0.20829892
ACEL,1727445926445,2.5208387,-0.15314065,9.722338
AHRS,1727445926446,1.5654513,-16.30658,-73.22901
GYRO,1727445926447,-0.08513684,0.78944373,-0.21074231
ACEL,1727445926448,2.475375,-0.13399807,9.767801
GYRO,1727445926449,-0.07658497,0.7515712,-0.20952061
ACEL,1727445926450,2.408376,-0.09092726,9.794122
AHRS,1727445926452,1.568848,-16.052649,-73.10633
GYRO,1727445926453,-0.06620057,0.71186614,-0.21013145
ACEL,1727445926454,2.3605196,-0.05503492,9.794122
GYRO,1727445926454,-0.058259558,0.66971767,-0.20707722
ACEL,1727445926455,2.3030918,-0.047856454,9.786943
AHRS,1727445926456,1.5543665,-15.796791,-73.01379
GYRO,1727445926457,-0.047875155,0.6287909,-0.20463383
ACEL,1727445926458,2.271985,-0.04546363,9.767801
GYRO,1727445926459,-0.03565821,0.58786416,-0.20096874
ACEL,1727445926461,2.2145574,-0.062213387,9.734302
GYRO,1727445926462,-0.022830416,0.54815906,-0.19547112
ACEL,1727445926464,2.1906292,-0.07178468,9.688838
AHRS,1727445926465,1.5248848,-15.549443,-73.03877
GYRO,1727445926466,-0.013667707,0.5115082,-0.19119519
ACEL,1727445926467,2.1499512,-0.08135597,9.631411
AHRS,1727445926468,1.4814969,-15.314407,-72.92677
GYRO,1727445926469,-0.0038941512,0.47180316,-0.18508671
ACEL,1727445926470,2.1092732,-0.1052842,9.58834
GYRO,1727445926471,0.0046577104,0.43698487,-0.18019994
ACEL,1727445926472,2.0733807,-0.11964113,9.550055
GYRO,1727445926472,0.009544488,0.39789063,-0.17286977
AHRS,1727445926473,1.436041,-15.096789,-72.90165
ACEL,1727445926474,2.0350957,-0.14356937,9.502198
GYRO,1727445926475,0.014431266,0.3575747,-0.16615045
ACEL,1727445926476,1.9968106,-0.15074782,9.456735
AHRS,1727445926477,1.3933798,-14.900285,-72.80602
GYRO,1727445926478,0.01809635,0.31786963,-0.16004199
ACEL,1727445926479,1.9606191,-0.15553348,9.406485
GYRO,1727445926480,0.016263809,0.27694288,-0.15087928
ACEL,1727445926480,1.89362,-0.16271193,9.346664
AHRS,1727445926481,1.3572065,-14.72354,-72.86542
GYRO,1727445926482,0.015042114,0.23784865,-0.1447708
ACEL,1727445926483,1.8481563,-0.17467605,9.289237
GYRO,1727445926484,0.010155336,0.19692189,-0.1368298
ACEL,1727445926485,1.7931215,-0.1794617,9.226724
AHRS,1727445926485,1.3283706,-14.567535,-72.79228
GYRO,1727445926486,0.004046863,0.15477343,-0.12766708
ACEL,1727445926487,1.7285153,-0.17228323,9.193225
GYRO,1727445926488,-0.0014507623,0.11751174,-0.114839286
